X                       ,Y                       ,T   
3.240000000000000102e-01,1.799999999999999864e-02,3.572388000000000261e+02
3.420000000000000262e-01,1.799999999999999864e-02,3.572413000000000238e+02
3.599999999999999867e-01,1.799999999999999864e-02,3.572434000000000083e+02
3.780000000000000027e-01,1.799999999999999864e-02,3.572450999999999794e+02
3.960000000000000187e-01,1.799999999999999864e-02,3.572463999999999942e+02
4.139999999999999791e-01,1.799999999999999864e-02,3.572474000000000274e+02
4.319999999999999951e-01,1.799999999999999864e-02,3.572481000000000222e+02
4.500000000000000111e-01,1.799999999999999864e-02,3.572484000000000037e+02
4.680000000000000271e-01,1.799999999999999864e-02,3.572484000000000037e+02
4.859999999999999876e-01,1.799999999999999864e-02,3.572481000000000222e+02
5.040000000000000036e-01,1.799999999999999864e-02,3.572474000000000274e+02
5.220000000000000195e-01,1.799999999999999864e-02,3.572463999999999942e+02
5.400000000000000355e-01,1.799999999999999864e-02,3.572450999999999794e+02
5.580000000000000515e-01,1.799999999999999864e-02,3.572434000000000083e+02
5.759999999999999565e-01,1.799999999999999864e-02,3.572413000000000238e+02
5.939999999999999725e-01,1.799999999999999864e-02,3.572388000000000261e+02
6.119999999999999885e-01,1.799999999999999864e-02,3.572357999999999834e+02
6.300000000000000044e-01,1.799999999999999864e-02,3.572323000000000093e+02
6.480000000000000204e-01,1.799999999999999864e-02,3.572282000000000153e+02
6.660000000000000364e-01,1.799999999999999864e-02,3.572235000000000014e+02
6.840000000000000524e-01,1.799999999999999864e-02,3.572180999999999926e+02
7.019999999999999574e-01,1.799999999999999864e-02,3.572119000000000142e+02
7.199999999999999734e-01,1.799999999999999864e-02,3.572047000000000025e+02
7.379999999999999893e-01,1.799999999999999864e-02,3.571965000000000146e+02
7.560000000000000053e-01,1.799999999999999864e-02,3.571870000000000118e+02
7.740000000000000213e-01,1.799999999999999864e-02,3.571761000000000195e+02
7.920000000000000373e-01,1.799999999999999864e-02,3.571635999999999740e+02
8.100000000000000533e-01,1.799999999999999864e-02,3.571492999999999824e+02
8.279999999999999583e-01,1.799999999999999864e-02,3.571329000000000065e+02
8.459999999999999742e-01,1.799999999999999864e-02,3.571141000000000076e+02
8.639999999999999902e-01,1.799999999999999864e-02,3.570928999999999860e+02
8.820000000000000062e-01,1.799999999999999864e-02,3.570692000000000235e+02
9.000000000000000222e-01,1.799999999999999864e-02,3.570428999999999746e+02
1.799999999999999864e-02,2.400000000000000050e-02,3.523851000000000226e+02
3.599999999999999728e-02,2.400000000000000050e-02,3.524060000000000059e+02
5.399999999999999939e-02,2.400000000000000050e-02,3.524254999999999995e+02
7.199999999999999456e-02,2.400000000000000050e-02,3.524436000000000035e+02
8.999999999999999667e-02,2.400000000000000050e-02,3.524601000000000113e+02
1.079999999999999988e-01,2.400000000000000050e-02,3.524751999999999725e+02
1.260000000000000009e-01,2.400000000000000050e-02,3.524889000000000010e+02
1.439999999999999891e-01,2.400000000000000050e-02,3.525011000000000081e+02
1.620000000000000051e-01,2.400000000000000050e-02,3.525122000000000071e+02
1.799999999999999933e-01,2.400000000000000050e-02,3.525221000000000231e+02
1.980000000000000093e-01,2.400000000000000050e-02,3.525308999999999742e+02
2.159999999999999976e-01,2.400000000000000050e-02,3.525387000000000057e+02
2.340000000000000135e-01,2.400000000000000050e-02,3.525457000000000107e+02
2.520000000000000018e-01,2.400000000000000050e-02,3.525518000000000143e+02
2.700000000000000178e-01,2.400000000000000050e-02,3.525572000000000230e+02
2.879999999999999782e-01,2.400000000000000050e-02,3.525620000000000118e+02
3.059999999999999942e-01,2.400000000000000050e-02,3.525661000000000058e+02
3.240000000000000102e-01,2.400000000000000050e-02,3.525697000000000116e+02
3.420000000000000262e-01,2.400000000000000050e-02,3.525726999999999975e+02
3.599999999999999867e-01,2.400000000000000050e-02,3.525751999999999953e+02
3.780000000000000027e-01,2.400000000000000050e-02,3.525772999999999797e+02
3.960000000000000187e-01,2.400000000000000050e-02,3.525788999999999760e+02
4.139999999999999791e-01,2.400000000000000050e-02,3.525801000000000158e+02
4.319999999999999951e-01,2.400000000000000050e-02,3.525808999999999855e+02
4.500000000000000111e-01,2.400000000000000050e-02,3.525812999999999988e+02
4.680000000000000271e-01,2.400000000000000050e-02,3.525812999999999988e+02
4.859999999999999876e-01,2.400000000000000050e-02,3.525808999999999855e+02
5.040000000000000036e-01,2.400000000000000050e-02,3.525801000000000158e+02
5.220000000000000195e-01,2.400000000000000050e-02,3.525788999999999760e+02
5.400000000000000355e-01,2.400000000000000050e-02,3.525772999999999797e+02
5.580000000000000515e-01,2.400000000000000050e-02,3.525751999999999953e+02
5.759999999999999565e-01,2.400000000000000050e-02,3.525726999999999975e+02
5.939999999999999725e-01,2.400000000000000050e-02,3.525697000000000116e+02
6.119999999999999885e-01,2.400000000000000050e-02,3.525661000000000058e+02
6.300000000000000044e-01,2.400000000000000050e-02,3.525620000000000118e+02
6.480000000000000204e-01,2.400000000000000050e-02,3.525572000000000230e+02
6.660000000000000364e-01,2.400000000000000050e-02,3.525518000000000143e+02
6.840000000000000524e-01,2.400000000000000050e-02,3.525457000000000107e+02
7.019999999999999574e-01,2.400000000000000050e-02,3.525387000000000057e+02
